trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at
29,2026-02-05 10:26:00,2026-02-05 10:39:00,long,49462.31,49410.31,49592.31,49410.31,sl,-54.0,-514.3,-1.038,98536.47,london,49467.31,49430.31,2026-02-05 10:20:00
30,2026-02-05 15:38:00,2026-02-05 15:50:00,long,49357.31,49306.31,49484.81,49306.31,sl,-53.0,-512.0,-1.039,98024.47,new_york,49357.31,49326.31,2026-02-05 15:35:00
31,2026-02-06 18:26:00,2026-02-06 18:35:00,short,49778.6,49840.6,49623.6,49840.6,sl,-64.0,-505.93,-1.032,97518.53,new_york,49820.6,49727.6,2026-02-06 18:25:00
32,2026-02-09 13:53:00,2026-02-09 15:06:00,short,50072.31,50108.31,49982.31,50108.31,sl,-38.0,-514.68,-1.056,97003.85,new_york,50088.31,50067.31,2026-02-09 13:20:00
33,2026-02-10 13:57:00,2026-02-10 14:45:00,short,50151.41,50184.5,50068.68500000001,50068.68500000001,tp,80.72,1183.23,2.44,98187.09,new_york,50164.5,50148.5,2026-02-10 13:45:00
34,2026-02-11 09:01:00,2026-02-11 12:01:00,short,50288.4,50318.31,50213.625000000015,50213.625000000015,tp,72.77,1194.51,2.433,99381.6,london,50298.31,50286.31,2026-02-11 09:00:00
35,2026-02-12 14:47:00,2026-02-12 15:02:00,long,50265.21,50233.2,50345.235,50233.2,sl,-34.01,-527.96,-1.062,98853.64,new_york,50269.2,50253.2,2026-02-12 13:00:00
36,2026-02-16 14:07:00,2026-02-16 16:26:00,short,49706.55,49737.6,49628.92500000002,49628.92500000002,tp,75.62,1203.83,2.436,100057.48,new_york,49717.6,49692.1,2026-02-16 13:05:00
37,2026-02-17 15:52:00,2026-02-17 15:54:00,short,49496.81,49512.31,49458.06,49458.06,tp,36.75,1186.17,2.371,101243.64,new_york,49492.31,49457.31,2026-02-17 14:30:00
38,2026-02-18 08:33:00,2026-02-18 10:00:00,long,49575.41,49554.61,49627.41000000001,49627.41000000001,tp,50.0,1216.87,2.404,102460.51,london,49583.01,49574.61,2026-02-18 07:15:00
39,2026-02-19 15:46:00,2026-02-19 16:33:00,long,49493.11,49430.01,49650.86,49430.01,sl,-65.1,-528.54,-1.032,101931.97,new_york,49511.51,49450.01,2026-02-19 14:25:00
40,2026-02-23 10:12:00,2026-02-23 11:00:00,short,49413.71,49442.95,49340.61,49442.95,sl,-31.24,-544.52,-1.068,101387.45,london,49422.95,49405.95,2026-02-23 10:10:00
41,2026-02-25 09:01:00,2026-02-25 10:05:00,short,49193.1,49221.41,49122.32499999998,49221.41,sl,-30.31,-542.75,-1.071,100844.7,london,49201.41,49192.81,2026-02-25 09:00:00
42,2026-02-25 09:57:00,2026-02-25 10:20:00,long,49171.65,49144.01,49240.75,49240.75,tp,67.1,1230.66,2.428,102075.36,london,49172.51,49164.01,2026-02-25 08:25:00
43,2026-02-25 19:12:00,2026-02-25 19:38:00,short,49401.6,49460.65,49253.97499999999,49460.65,sl,-61.05,-527.66,-1.034,101547.7,new_york,49440.65,49383.65,2026-02-25 19:10:00
44,2026-02-26 10:24:00,2026-02-26 14:00:00,long,49389.61,49351.8,49484.134999999995,49484.134999999995,tp,92.52,1242.49,2.447,102790.19,london,49390.8,49371.8,2026-02-26 10:20:00
45,2026-02-27 10:05:00,2026-02-27 11:05:00,short,49289.21,49320.4,49211.23499999999,49320.4,sl,-33.19,-546.91,-1.064,102243.28,london,49300.4,49285.9,2026-02-27 09:50:00
46,2026-02-27 18:18:00,2026-03-02 01:05:00,short,48980.85,49106.9,48665.72499999999,48665.72499999999,tp,313.13,1269.93,2.484,103513.21,new_york,49086.9,48955.21,2026-02-27 16:55:00
47,2026-03-03 16:23:00,2026-03-03 16:42:00,long,47999.71,47918.71,48202.21,47918.71,sl,-83.0,-530.35,-1.025,102982.86,new_york,48016.21,47938.71,2026-03-03 13:40:00
48,2026-03-04 08:59:00,2026-03-04 09:24:00,short,48315.01,48360.01,48202.51,48360.01,sl,-47.0,-537.8,-1.044,102445.07,london,48340.01,48295.01,2026-03-04 08:55:00
49,2026-03-04 14:12:00,2026-03-04 14:17:00,long,48533.11,48492.11,48635.61,48492.11,sl,-43.0,-537.21,-1.049,101907.85,new_york,48561.11,48512.11,2026-03-04 12:50:00
50,2026-03-05 10:06:00,2026-03-05 10:30:00,long,48486.41,48444.81,48590.41000000002,48444.81,sl,-43.6,-534.04,-1.048,101373.82,london,48501.31,48464.81,2026-03-05 08:55:00
51,2026-03-05 15:25:00,2026-03-05 15:36:00,long,48459.91,48423.41,48551.16,48423.41,sl,-38.5,-534.64,-1.055,100839.17,new_york,48481.91,48443.41,2026-03-05 11:05:00
52,2026-03-05 18:43:00,2026-03-05 19:02:00,long,47912.5,47875.1,48006.0,48006.0,tp,91.5,1233.53,2.447,102072.7,new_york,47952.6,47895.1,2026-03-05 18:40:00
53,2026-03-09 18:36:00,2026-03-09 19:26:00,long,47056.6,46994.6,47211.6,47211.6,tp,153.0,1259.45,2.468,103332.15,new_york,47069.6,47014.6,2026-03-09 18:30:00
54,2026-03-13 09:05:00,2026-03-13 09:25:00,long,46818.51,46781.91,46910.009999999995,46781.91,sl,-38.6,-544.89,-1.055,102787.25,london,46821.91,46801.91,2026-03-13 08:35:00
55,2026-03-16 15:56:00,2026-03-16 16:41:00,long,46888.81,46846.81,46993.81,46993.81,tp,103.0,1260.37,2.452,104047.62,new_york,46907.81,46866.81,2026-03-16 15:45:00
56,2026-03-19 13:45:00,2026-03-19 15:31:00,short,46159.21,46257.71,45912.96,45912.96,tp,244.25,1290.03,2.48,105337.65,new_york,46237.71,46157.21,2026-03-19 10:40:00
57,2026-03-20 09:04:00,2026-03-20 09:43:00,short,46123.31,46157.81,46037.06,46037.06,tp,84.25,1286.19,2.442,106623.84,london,46137.81,46122.71,2026-03-20 07:50:00
58,2026-03-20 09:13:00,2026-03-20 09:27:00,long,46106.9,46066.61,46207.625,46066.61,sl,-42.29,-552.83,-1.05,106071.01,london,46109.81,46086.61,2026-03-20 08:25:00
59,2026-03-20 16:38:00,2026-03-20 16:39:00,long,45862.4,45846.71,45901.62500000001,45846.71,sl,-17.69,-597.96,-1.127,105473.05,new_york,45912.21,45866.71,2026-03-20 16:00:00
60,2026-03-20 17:07:00,2026-03-20 22:24:00,short,45873.9,46027.9,45488.9,45488.9,tp,383.0,1311.56,2.487,106784.61,new_york,46007.9,45868.4,2026-03-20 17:05:00
61,2026-03-20 18:30:00,2026-03-20 20:04:00,long,45712.9,45650.9,45867.9,45867.9,tp,153.0,1301.4,2.468,108086.01,new_york,45805.9,45670.9,2026-03-20 18:15:00
62,2026-03-23 18:23:00,2026-03-23 18:55:00,short,46689.0,46829.31,46338.225000000006,46338.225000000006,tp,348.77,1343.37,2.486,109429.39,new_york,46809.31,46468.31,2026-03-23 14:55:00
63,2026-03-24 14:22:00,2026-03-24 15:37:00,short,46164.41,46227.41,46006.91,46006.91,tp,155.5,1350.5,2.468,110779.88,new_york,46207.41,46149.91,2026-03-24 13:30:00
64,2026-03-24 14:49:00,2026-03-24 14:53:00,short,46187.41,46233.41,46072.41,46072.41,tp,113.0,1344.08,2.457,112123.96,new_york,46213.41,46172.41,2026-03-24 14:30:00
65,2026-03-25 09:31:00,2026-03-25 09:50:00,long,46419.91,46398.81,46472.66000000002,46472.66000000002,tp,50.75,1348.41,2.405,113472.37,london,46435.31,46418.81,2026-03-25 07:05:00
66,2026-03-25 19:00:00,2026-03-25 19:05:00,long,46428.9,46369.4,46577.65,46369.4,sl,-61.5,-586.43,-1.034,112885.94,new_york,46490.4,46389.4,2026-03-25 19:00:00
67,2026-03-27 10:54:00,2026-03-27 11:03:00,long,46085.81,46048.31,46179.56,46048.31,sl,-39.5,-594.53,-1.053,112291.41,london,46092.31,46068.31,2026-03-27 10:50:00
68,2026-03-27 14:25:00,2026-03-27 16:02:00,long,45781.81,45724.81,45924.31,45724.81,sl,-59.0,-581.16,-1.035,111710.25,new_york,45786.81,45744.81,2026-03-27 14:25:00
