direction,entry_price,sl,tp,entry_time,session,vwap_at_entry,balance_at_entry,exit_price,exit_time,exit_reason,pnl_points,pnl_usd,balance,equity
short,49686.85,49750.24332194045,49536.85,2026-02-18 20:50:00,other,49720.24332194045,97699.16096571123,49536.85,2026-02-18 21:55:00,tp,148.0,148.0,97847.16096571123,97847.16096571123
long,49710.85,49669.71024179203,49860.85,2026-02-18 22:50:00,other,49699.71024179203,97847.16096571123,49669.44889325249,2026-02-18 22:55:00,sl,-43.40110674750758,-43.40110674750758,97803.75985896372,97803.75985896372
long,49674.48,49639.91333333333,49824.48,2026-02-19 01:05:00,asia,49669.91333333333,97803.75985896372,49617.96180673457,2026-02-19 02:20:00,sl,-58.518193265430455,-58.518193265430455,97745.2416656983,97745.2416656983
long,49642.41,49604.61163122207,49792.41,2026-02-19 03:00:00,asia,49634.61163122207,97745.2416656983,49615.33845752061,2026-02-19 07:05:00,sl,-29.071542479396157,-29.071542479396157,97716.17012321891,97716.17012321891
long,49653.61,49614.62096609822,49803.61,2026-02-19 07:30:00,london,49644.62096609822,97716.17012321891,49627.35596318961,2026-02-19 10:50:00,sl,-28.254036810387333,-28.254036810387333,97687.91608640851,97687.91608640851
long,49553.8,49509.680783708936,49703.8,2026-02-19 17:20:00,new_york,49539.680783708936,97687.91608640851,49508.63441280708,2026-02-19 17:25:00,sl,-47.16558719292516,-47.16558719292516,97640.75049921559,97640.75049921559
long,49579.8,49508.5712295959,49729.8,2026-02-19 17:30:00,new_york,49538.5712295959,97640.75049921559,49509.64749483086,2026-02-19 17:50:00,sl,-72.15250516914239,-72.15250516914239,97568.59799404645,97568.59799404645
long,49392.98,49356.69216814159,49542.98,2026-02-20 01:15:00,asia,49386.69216814159,97568.59799404645,49542.98,2026-02-20 11:15:00,tp,148.0,148.0,97716.59799404645,97716.59799404645
short,49460.3,49492.74573562876,49310.3,2026-02-20 12:20:00,other,49462.74573562876,97716.59799404645,49310.3,2026-02-20 14:20:00,tp,148.0,148.0,97864.59799404645,97864.59799404645
long,49554.3,49341.83931896608,49704.3,2026-02-20 17:00:00,new_york,49371.83931896608,97864.59799404645,49351.668427006836,2026-02-20 17:15:00,sl,-204.63157299316663,-204.63157299316663,97659.96642105328,97659.96642105328
short,49375.4,49442.732458521874,49225.4,2026-02-20 18:25:00,new_york,49412.732458521874,97659.96642105328,49442.699704959974,2026-02-20 18:30:00,sl,-69.29970495997259,-69.29970495997259,97590.66671609331,97590.66671609331
short,49380.95,49449.282094483606,49230.95,2026-02-20 19:05:00,new_york,49419.282094483606,97590.66671609331,49230.95,2026-02-20 19:20:00,tp,148.0,148.0,97738.66671609331,97738.66671609331
long,49428.4,49375.241911256904,49578.4,2026-02-20 19:50:00,new_york,49405.241911256904,97738.66671609331,49375.335249068274,2026-02-20 19:55:00,sl,-55.06475093172776,-55.06475093172776,97683.6019651616,97683.6019651616
short,49404.45,49435.61634715259,49254.45,2026-02-20 20:05:00,other,49405.61634715259,97683.6019651616,49434.69478789553,2026-02-20 20:30:00,sl,-32.24478789553541,-32.24478789553541,97651.35717726607,97651.35717726607
short,49586.98,49623.98,49436.98,2026-02-23 01:05:00,asia,49593.98,97651.35717726607,49436.98,2026-02-23 02:25:00,tp,148.0,148.0,97799.35717726607,97799.35717726607
long,49389.4,49358.668150721474,49539.4,2026-02-23 09:05:00,london,49388.668150721474,97799.35717726607,49385.74921397152,2026-02-23 14:30:00,sl,-5.650786028483708,-5.650786028483708,97793.70639123759,97793.70639123759
long,49431.21,49382.12046950859,49581.21,2026-02-23 15:40:00,new_york,49412.12046950859,97793.70639123759,49581.21,2026-02-23 16:30:00,tp,148.0,148.0,97941.70639123759,97941.70639123759
