trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at
136,2026-01-06 17:20:00,2026-01-06 17:39:00,long,49128.25,49101.7,49194.62500000001,49101.7,sl,-28.55,-580.06,-1.075,107305.64,new_york,conservative,bullish,49134.25,49126.7,2026-01-06 17:10:00
137,2026-01-06 17:39:00,2026-01-06 18:49:00,long,49098.25,49049.2,49220.87500000001,49220.87500000001,tp,120.63,1319.44,2.459,108625.09,new_york,conservative,bullish,49104.2,49074.2,2026-01-06 17:05:00
138,2026-01-06 18:43:00,2026-01-06 18:53:00,long,49172.2,49143.2,49244.7,49244.7,tp,70.5,1304.32,2.431,109929.4,new_york,conservative,bullish,49174.25,49168.2,2026-01-06 18:25:00
139,2026-01-06 19:41:00,2026-01-06 20:12:00,long,49360.9,49334.9,49425.9,49425.9,tp,63.0,1331.84,2.423,111261.24,new_york,conservative,bullish,49360.9,49359.9,2026-01-06 19:35:00
140,2026-01-06 20:03:00,2026-01-06 21:00:00,long,49393.9,49366.9,49461.4,49461.4,tp,65.5,1333.4,2.426,112594.64,new_york,conservative,bullish,49394.4,49391.9,2026-01-06 19:55:00
141,2026-01-06 21:18:00,2026-01-06 21:29:00,long,49479.2,49452.2,49546.7,49452.2,sl,-29.0,-604.67,-1.074,111989.97,new_york,conservative,bullish,49484.2,49477.2,2026-01-06 21:10:00
142,2026-01-06 21:54:00,2026-01-07 03:49:00,long,49452.2,49426.5,49516.44999999999,49516.44999999999,tp,62.25,1356.3,2.422,113346.27,new_york,conservative,bullish,49456.4,49451.5,2026-01-06 21:45:00
143,2026-01-06 22:10:00,2026-01-07 16:30:00,long,49481.2,49438.7,49587.45,49587.45,tp,104.25,1373.52,2.453,114719.79,new_york,conservative,bullish,49486.7,49463.7,2026-01-06 22:05:00
144,2026-01-07 14:38:00,2026-01-07 16:00:00,long,49482.7,49456.2,49548.95,49548.95,tp,64.25,1374.06,2.425,116093.85,new_york,conservative,bullish,49484.2,49481.2,2026-01-07 12:45:00
145,2026-01-07 17:42:00,2026-01-07 17:47:00,short,49283.2,49298.2,49245.7,49245.7,tp,35.5,1373.78,2.367,117467.63,new_york,conservative,bearish,49283.2,49270.7,2026-01-07 17:15:00
146,2026-01-07 17:46:00,2026-01-07 18:41:00,long,49250.15,49222.15,49320.15,49320.15,tp,68.0,1409.71,2.429,118877.34,new_york,conservative,bullish,49250.15,49247.15,2026-01-07 17:40:00
147,2026-01-07 18:13:00,2026-01-07 18:43:00,long,49262.65,49233.2,49336.27500000001,49336.27500000001,tp,71.63,1428.46,2.432,120305.8,new_york,conservative,bullish,49264.15,49258.2,2026-01-07 18:00:00
148,2026-01-07 19:36:00,2026-01-07 19:50:00,long,49341.9,49280.35,49495.77500000001,49280.35,sl,-63.55,-621.08,-1.032,119684.72,new_york,conservative,bullish,49347.35,49305.35,2026-01-07 18:45:00
149,2026-01-07 20:53:00,2026-01-07 21:09:00,short,49225.3,49241.08,49185.85,49185.85,tp,37.45,1420.21,2.373,121104.93,new_york,conservative,bearish,49226.9,49210.85,2026-01-07 20:20:00
150,2026-01-07 21:40:00,2026-01-07 22:06:00,long,49166.8,49129.8,49259.3,49129.8,sl,-39.0,-638.26,-1.054,120466.68,new_york,conservative,bullish,49167.3,49154.8,2026-01-07 21:35:00
151,2026-01-08 13:48:00,2026-01-08 14:02:00,long,48839.7,48814.15,48903.57499999998,48814.15,sl,-27.55,-649.48,-1.078,119817.2,new_york,conservative,bullish,48843.7,48839.15,2026-01-08 12:35:00
152,2026-01-08 15:34:00,2026-01-08 16:00:00,long,48827.51,48801.7,48892.03500000002,48801.7,sl,-27.81,-645.51,-1.077,119171.69,new_york,conservative,bullish,48831.11,48826.7,2026-01-08 15:20:00
153,2026-01-08 15:55:00,2026-01-08 16:27:00,long,48812.2,48784.7,48880.95,48784.7,sl,-29.5,-642.66,-1.073,118529.03,new_york,conservative,bullish,48813.15,48809.7,2026-01-08 14:55:00
154,2026-01-08 18:36:00,2026-01-08 19:03:00,long,49232.05,49204.7,49300.42500000002,49300.42500000002,tp,66.38,1438.28,2.427,119967.31,new_york,conservative,bullish,49252.1,49229.7,2026-01-08 18:30:00
155,2026-01-08 19:48:00,2026-01-08 20:13:00,long,49322.1,49266.05,49462.22499999999,49266.05,sl,-58.05,-621.24,-1.036,119346.07,new_york,conservative,bullish,49322.1,49291.05,2026-01-08 19:35:00
156,2026-01-08 22:59:00,2026-01-08 23:35:00,long,49251.6,49220.1,49330.35,49330.35,tp,76.75,1453.94,2.437,120800.0,new_york,conservative,bullish,49252.1,49245.1,2026-01-08 22:15:00
157,2026-01-09 16:04:00,2026-01-09 16:11:00,long,49397.11,49368.61,49468.36,49368.61,sl,-30.5,-646.39,-1.07,120153.62,new_york,conservative,bullish,49402.11,49393.61,2026-01-09 15:40:00
158,2026-01-09 16:05:00,2026-01-09 16:18:00,long,49381.11,49321.11,49531.11,49321.11,sl,-62.0,-624.13,-1.033,119529.48,new_york,conservative,bullish,49393.61,49346.11,2026-01-09 15:35:00
159,2026-01-09 16:29:00,2026-01-09 16:30:00,long,49276.11,49245.8,49351.884999999995,49351.884999999995,tp,73.77,1454.68,2.434,120984.17,new_york,conservative,bullish,49277.3,49270.8,2026-01-09 14:45:00
