trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at
271,2026-01-21 14:57:00,2026-01-21 16:04:00,short,48397.91,48438.41,48256.16,48438.41,sl,-42.5,-538.99,-1.049,101638.51,new_york,conservative,bearish,48413.41,48393.41,2026-01-21 14:40:00
272,2026-01-21 16:05:00,2026-01-21 16:10:00,short,48480.41,48514.91,48359.66,48514.91,sl,-36.5,-537.65,-1.058,101100.85,new_york,conservative,bearish,48489.91,48472.41,2026-01-21 13:40:00
273,2026-01-21 16:14:00,2026-01-21 16:18:00,short,48557.41,48594.15,48428.82000000001,48594.15,sl,-38.74,-533.02,-1.054,100567.83,new_york,conservative,bearish,48569.15,48555.1,2026-01-21 12:55:00
274,2026-01-21 18:07:00,2026-01-21 18:37:00,long,48928.1,48888.1,49068.1,48888.1,sl,-42.0,-527.98,-1.05,100039.85,new_york,conservative,bullish,48948.15,48913.1,2026-01-21 17:35:00
275,2026-01-21 18:48:00,2026-01-21 19:14:00,short,48870.1,48940.15,48624.92499999999,48624.92499999999,tp,243.18,1736.42,3.471,101776.27,new_york,conservative,bearish,48915.15,48868.6,2026-01-21 18:40:00
276,2026-01-21 19:23:00,2026-01-21 20:28:00,short,48755.1,48791.6,48627.35,48791.6,sl,-38.5,-536.77,-1.055,101239.5,new_york,conservative,bearish,48766.6,48746.1,2026-01-21 19:05:00
277,2026-01-21 20:20:00,2026-01-21 21:27:00,long,48729.1,48683.1,48890.1,48890.1,tp,159.0,1758.96,3.457,102998.46,new_york,conservative,bullish,48731.1,48708.1,2026-01-21 20:15:00
278,2026-01-21 20:31:00,2026-01-21 20:50:00,short,48806.15,48841.1,48683.82500000001,48841.1,sl,-36.95,-535.16,-1.057,102463.29,new_york,conservative,bearish,48816.1,48804.1,2026-01-21 19:00:00
279,2026-01-21 20:55:00,2026-01-21 21:05:00,long,48806.15,48758.15,48974.15,48758.15,sl,-50.0,-524.5,-1.042,101938.79,new_york,conservative,bullish,48813.15,48783.15,2026-01-21 20:50:00
280,2026-01-21 21:19:00,2026-01-21 21:24:00,short,48784.1,48809.65,48694.67499999999,48809.65,sl,-27.55,-540.11,-1.078,101398.68,new_york,conservative,bearish,48784.65,48782.15,2026-01-21 21:05:00
281,2026-01-21 21:51:00,2026-01-21 22:11:00,long,49223.1,49187.1,49349.1,49187.1,sl,-38.0,-535.16,-1.056,100863.52,new_york,conservative,bullish,49230.1,49212.1,2026-01-21 21:45:00
282,2026-01-21 22:14:00,2026-01-21 22:19:00,long,49172.6,49120.1,49356.35,49120.1,sl,-54.5,-523.53,-1.038,100340.0,new_york,conservative,bullish,49173.1,49145.1,2026-01-21 21:40:00
283,2026-01-21 22:18:00,2026-01-21 22:29:00,long,49122.6,49075.1,49288.85,49075.1,sl,-49.5,-525.55,-1.042,99814.44,new_york,conservative,bullish,49129.1,49100.1,2026-01-21 21:35:00
284,2026-01-22 13:54:00,2026-01-22 14:33:00,short,49218.6,49243.91,49130.014999999985,49243.91,sl,-27.31,-538.51,-1.079,99275.93,new_york,conservative,bearish,49218.91,49217.51,2026-01-22 13:45:00
285,2026-01-22 14:39:00,2026-01-22 16:30:00,long,49234.41,49194.6,49373.745000000024,49373.745000000024,tp,137.34,1712.39,3.45,100988.33,new_york,conservative,bullish,49234.41,49219.6,2026-01-22 14:35:00
286,2026-01-22 14:50:00,2026-01-22 15:05:00,short,49228.6,49256.41,49131.264999999985,49256.41,sl,-29.81,-532.08,-1.072,100456.25,new_york,conservative,bearish,49231.41,49228.6,2026-01-22 14:50:00
287,2026-01-22 15:24:00,2026-01-22 15:36:00,short,49270.1,49300.51,49163.664999999986,49300.51,sl,-32.41,-526.19,-1.066,99930.06,new_york,conservative,bearish,49275.51,49266.91,2026-01-22 13:15:00
288,2026-01-22 15:37:00,2026-01-22 15:47:00,short,49286.41,49312.6,49194.745000000024,49312.6,sl,-28.19,-528.59,-1.076,99401.47,new_york,conservative,bearish,49287.6,49283.6,2026-01-22 11:55:00
289,2026-01-22 17:01:00,2026-01-22 17:05:00,long,49295.6,49260.41,49418.764999999985,49260.41,sl,-37.19,-525.25,-1.057,98876.21,new_york,conservative,bullish,49301.41,49285.41,2026-01-22 15:50:00
290,2026-01-22 17:20:00,2026-01-22 17:35:00,short,49377.6,49446.6,49136.1,49446.6,sl,-71.0,-508.71,-1.029,98367.5,new_york,conservative,bearish,49421.6,49368.6,2026-01-22 16:50:00
291,2026-01-22 17:32:00,2026-01-22 18:45:00,short,49434.1,49533.6,49085.85,49533.6,sl,-101.5,-504.32,-1.02,97863.18,new_york,conservative,bearish,49508.6,49431.6,2026-01-22 16:45:00
292,2026-01-22 19:22:00,2026-01-22 20:58:00,long,49517.6,49483.6,49636.6,49483.6,sl,-36.0,-518.1,-1.059,97345.08,new_york,conservative,bullish,49530.6,49508.6,2026-01-22 19:10:00
293,2026-01-22 19:43:00,2026-01-22 20:15:00,long,49584.55,49516.55,49822.55,49516.55,sl,-70.0,-503.71,-1.029,96841.38,new_york,conservative,bullish,49586.05,49541.55,2026-01-22 19:35:00
294,2026-01-22 20:39:00,2026-01-22 21:56:00,short,49542.6,49579.6,49413.1,49413.1,tp,127.5,1677.48,3.446,98518.85,new_york,conservative,bearish,49554.6,49538.55,2026-01-22 20:15:00
295,2026-01-22 21:16:00,2026-01-22 21:39:00,long,49539.6,49482.6,49739.1,49482.6,sl,-59.0,-501.2,-1.035,98017.66,new_york,conservative,bullish,49544.6,49507.6,2026-01-22 21:05:00
296,2026-01-22 21:39:00,2026-01-22 21:45:00,long,49480.55,49453.05,49576.8,49453.05,sl,-29.5,-516.73,-1.073,97500.92,new_york,conservative,bullish,49481.1,49478.05,2026-01-22 18:10:00
297,2026-01-22 22:07:00,2026-01-23 11:40:00,short,49427.6,49466.55,49291.27499999998,49291.27499999998,tp,134.33,1681.23,3.449,99182.16,new_york,conservative,bearish,49441.55,49425.6,2026-01-22 22:00:00
298,2026-01-22 22:51:00,2026-01-23 08:04:00,short,49386.6,49431.6,49229.1,49431.6,sl,-47.0,-509.17,-1.044,98672.99,new_york,conservative,bearish,49406.6,49372.6,2026-01-22 22:30:00
299,2026-01-23 14:08:00,2026-01-23 15:22:00,short,49293.21,49319.61,49200.81,49200.81,tp,90.4,1689.4,3.424,100362.39,new_york,conservative,bearish,49294.61,49290.21,2026-01-23 13:45:00
300,2026-01-23 14:59:00,2026-01-23 15:02:00,long,49284.75,49259.75,49372.25,49259.75,sl,-27.0,-532.83,-1.08,99829.55,new_york,conservative,bullish,49286.7,49284.75,2026-01-23 14:50:00
