trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at
1643,2026-03-18 11:04:00,2026-03-18 11:45:00,short,4996.51,5004.44,4980.6500000000015,4980.6500000000015,tp,12.86,44.09,1.622,5481.1,london,conservative,bearish,5001.44,4996.51,2026-03-18 10:55:00
1644,2026-03-18 14:15:00,2026-03-18 14:26:00,short,4969.82,4975.25,4958.959999999999,4958.959999999999,tp,7.86,39.67,1.448,5520.77,london,conservative,bearish,4972.25,4969.82,2026-03-18 14:05:00
1645,2026-03-18 16:46:00,2026-03-18 17:03:00,short,4867.76,4880.93,4841.42,4880.93,sl,-16.17,-33.89,-1.228,5486.88,london,conservative,bearish,4877.93,4867.76,2026-03-18 16:10:00
1646,2026-03-18 17:03:00,2026-03-18 17:04:00,long,4865.97,4859.6,4878.71,4878.71,tp,9.74,41.95,1.529,5528.83,london,conservative,bullish,4865.97,4862.6,2026-03-18 16:45:00
1647,2026-03-18 17:06:00,2026-03-18 17:20:00,short,4889.33,4898.51,4870.969999999999,4870.969999999999,tp,15.36,46.25,1.673,5575.08,london,conservative,bearish,4895.51,4889.33,2026-03-18 15:40:00
1648,2026-03-18 17:48:00,2026-03-18 18:07:00,short,4867.0,4875.67,4849.66,4875.67,sl,-11.67,-37.52,-1.346,5537.56,london,conservative,bearish,4872.67,4867.0,2026-03-18 17:30:00
1649,2026-03-18 18:10:00,2026-03-18 19:45:00,short,4873.48,4883.26,4853.919999999998,4883.26,sl,-12.78,-36.18,-1.307,5501.38,london,conservative,bearish,4880.26,4873.48,2026-03-18 17:25:00
1650,2026-03-18 19:45:00,2026-03-18 19:53:00,long,4873.93,4867.64,4886.51,4886.51,tp,9.58,41.89,1.523,5543.27,new_york,conservative,bullish,4873.93,4870.64,2026-03-18 19:20:00
1651,2026-03-18 22:07:00,2026-03-18 22:51:00,short,4857.32,4865.54,4840.879999999999,4840.879999999999,tp,13.44,45.32,1.635,5588.59,new_york,conservative,bearish,4862.54,4857.32,2026-03-18 22:05:00
1652,2026-03-19 01:04:00,2026-03-19 02:28:00,short,4825.84,4839.72,4798.08,4839.72,sl,-16.88,-33.98,-1.216,5554.61,asia,conservative,bearish,4836.72,4825.84,2026-03-18 23:20:00
1653,2026-03-19 03:23:00,2026-03-19 04:05:00,long,4842.2,4835.2,4856.2,4835.2,sl,-10.0,-39.68,-1.429,5514.93,asia,conservative,bullish,4842.2,4838.2,2026-03-19 03:10:00
