trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at
402,2026-01-27 19:05:00,2026-01-27 20:07:00,short,49039.45,49090.45,48860.95,48860.95,tp,176.5,4163.37,3.461,243520.61,new_york,aggressive,bearish,49065.45,49039.45,2026-01-27 19:05:00
403,2026-01-27 19:16:00,2026-01-27 20:01:00,long,48925.5,48898.45,49020.17500000001,48898.45,sl,-29.05,-1285.27,-1.074,242235.34,new_york,aggressive,bullish,48925.5,48923.45,2026-01-27 17:40:00
404,2026-01-27 20:05:00,2026-01-27 20:30:00,short,48878.5,48936.45,48675.67500000001,48936.45,sl,-59.95,-1231.44,-1.035,241003.9,new_york,aggressive,bearish,48911.45,48878.5,2026-01-27 20:05:00
405,2026-01-27 20:17:00,2026-01-28 08:00:00,long,48902.5,48853.5,49074.0,49074.0,tp,169.5,4189.68,3.459,245193.58,new_york,aggressive,bullish,48902.5,48878.5,2026-01-27 20:15:00
406,2026-01-27 20:30:00,2026-01-27 20:52:00,short,48923.45,48974.45,48744.95,48974.45,sl,-53.0,-1252.28,-1.039,243941.31,new_york,aggressive,bearish,48949.45,48923.45,2026-01-27 19:35:00
407,2026-01-27 20:52:00,2026-01-28 02:32:00,short,48959.45,49027.45,48721.45,49027.45,sl,-70.0,-1234.02,-1.029,242707.29,new_york,aggressive,bearish,49002.45,48959.45,2026-01-27 19:15:00
408,2026-01-28 13:45:00,2026-01-28 14:12:00,long,49024.3,48998.8,49113.55,48998.8,sl,-27.5,-1308.72,-1.078,241398.57,new_york,aggressive,bullish,49024.3,49023.8,2026-01-28 13:30:00
409,2026-01-28 13:52:00,2026-01-28 16:30:00,short,49033.85,49066.8,48918.52499999998,49066.8,sl,-34.95,-1287.2,-1.061,240111.38,new_york,aggressive,bearish,49041.8,49033.85,2026-01-28 13:05:00
410,2026-01-28 14:15:00,2026-01-28 16:30:00,short,49009.11,49054.8,48849.19499999999,49054.8,sl,-47.69,-1259.83,-1.044,238851.55,new_york,aggressive,bearish,49029.8,49009.11,2026-01-28 14:15:00
411,2026-01-28 16:44:00,2026-01-28 17:08:00,long,49002.61,48952.61,49177.61,48952.61,sl,-52.0,-1242.03,-1.04,237609.52,new_york,aggressive,bullish,49002.61,48977.61,2026-01-28 16:25:00
412,2026-01-28 16:51:00,2026-01-28 17:09:00,long,48978.11,48935.71,49126.51000000001,48935.71,sl,-44.4,-1250.59,-1.047,236358.93,new_york,aggressive,bullish,48978.11,48960.71,2026-01-28 16:20:00
413,2026-01-28 17:12:00,2026-01-28 17:24:00,short,48943.8,49000.85,48744.125000000015,49000.85,sl,-59.05,-1223.22,-1.035,235135.71,new_york,aggressive,bearish,48975.85,48943.8,2026-01-28 17:10:00
414,2026-01-28 17:25:00,2026-01-28 21:02:00,long,48981.85,48930.85,49160.35,48930.85,sl,-53.0,-1221.78,-1.039,233913.92,new_york,aggressive,bullish,48981.85,48955.85,2026-01-28 17:25:00
415,2026-01-28 19:30:00,2026-01-28 21:02:00,short,49028.85,49057.3,48929.27499999998,48929.27499999998,tp,97.58,4032.23,3.43,237946.15,new_york,aggressive,bearish,49032.3,49028.85,2026-01-28 19:30:00
416,2026-01-28 21:04:00,2026-01-28 21:08:00,short,48997.8,49025.8,48899.8,49025.8,sl,-30.0,-1274.71,-1.071,236671.44,new_york,aggressive,bearish,49000.8,48997.8,2026-01-28 20:50:00
417,2026-01-28 21:05:00,2026-01-28 21:29:00,long,48981.3,48947.85,49098.375000000015,48947.85,sl,-35.45,-1260.87,-1.06,235410.57,new_york,aggressive,bullish,48981.3,48972.85,2026-01-28 21:05:00
418,2026-01-28 21:51:00,2026-01-28 21:59:00,long,48984.8,48954.8,49089.8,48954.8,sl,-32.0,-1255.52,-1.067,234155.05,new_york,aggressive,bullish,48984.8,48979.8,2026-01-28 21:50:00
419,2026-01-28 22:30:00,2026-01-28 22:55:00,short,48985.8,49041.8,48789.8,49041.8,sl,-58.0,-1212.59,-1.036,232942.46,new_york,aggressive,bearish,49016.8,48985.8,2026-01-28 22:30:00
420,2026-01-28 22:59:00,2026-01-28 23:00:00,long,49002.85,48948.85,49191.85,48948.85,sl,-56.0,-1207.85,-1.037,231734.61,new_york,aggressive,bullish,49002.85,48973.85,2026-01-28 22:55:00
421,2026-01-29 13:47:00,2026-01-29 14:00:00,long,49178.01,49039.51,49662.76,49039.51,sl,-140.5,-1175.4,-1.014,230559.21,new_york,aggressive,bullish,49178.01,49064.51,2026-01-29 13:35:00
422,2026-01-29 13:50:00,2026-01-29 16:35:00,short,49128.01,49199.01,48879.51,49199.01,sl,-73.0,-1191.31,-1.028,229367.9,new_york,aggressive,bearish,49174.01,49128.01,2026-01-29 13:50:00
