trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,entry_method,fvg_type,fvg_zone_high,fvg_zone_low,fvg_confirmed_at,date
2875,2025-08-07 19:14:00,2025-08-07 19:31:00,short,43915.5,43960.0,43826.5,43960.0,sl,-46.5,-52.25,-1.045,44430.7,new_york,conservative,bearish,43935.0,43915.5,2025-08-07 18:30:00,2025-08-07
2876,2025-08-07 19:22:00,2025-08-07 19:41:00,long,43920.0,43869.0,44022.0,43869.0,sl,-53.0,-51.96,-1.039,44378.74,new_york,conservative,bullish,43920.0,43894.0,2025-08-07 19:15:00,2025-08-07
2877,2025-08-07 19:57:00,2025-08-07 20:04:00,short,43917.0,43954.0,43843.0,43843.0,tp,72.0,97.3,1.946,44476.04,new_york,conservative,bearish,43929.0,43917.0,2025-08-07 19:40:00,2025-08-07
2878,2025-08-07 20:57:00,2025-08-07 21:10:00,long,43867.0,43835.5,43930.0,43835.5,sl,-33.5,-53.17,-1.063,44422.87,new_york,conservative,bullish,43867.0,43860.5,2025-08-07 20:55:00,2025-08-07
2879,2025-08-07 22:08:00,2025-08-07 22:45:00,long,43876.0,43844.0,43940.0,43940.0,tp,62.0,96.88,1.938,44519.74,new_york,conservative,bullish,43876.0,43869.0,2025-08-07 21:55:00,2025-08-07
2880,2025-08-08 10:22:00,2025-08-08 11:04:00,short,44069.5,44095.5,44017.5,44017.5,tp,50.0,96.15,1.923,44615.89,london,conservative,bearish,44070.5,44069.5,2025-08-08 07:00:00,2025-08-08
2881,2025-08-08 10:49:00,2025-08-08 11:04:00,long,44046.7,44018.7,44102.7,44018.7,sl,-30.0,-53.57,-1.071,44562.32,london,conservative,bullish,44046.7,44043.7,2025-08-08 10:15:00,2025-08-08
2882,2025-08-08 11:22:00,2025-08-08 13:02:00,short,44038.7,44068.2,43979.7,44068.2,sl,-31.5,-53.39,-1.068,44508.93,london,conservative,bearish,44043.2,44038.7,2025-08-08 11:05:00,2025-08-08
2883,2025-08-08 11:47:00,2025-08-08 14:00:00,long,44018.2,43983.2,44088.2,44088.2,tp,68.0,97.14,1.943,44606.08,london,conservative,bullish,44018.2,44008.2,2025-08-08 09:20:00,2025-08-08
2884,2025-08-08 13:02:00,2025-08-08 14:00:00,long,44033.2,44005.2,44089.2,44089.2,tp,54.0,96.43,1.929,44702.5,london,conservative,bullish,44033.2,44030.2,2025-08-08 12:15:00,2025-08-08
2885,2025-08-08 14:00:00,2025-08-08 15:20:00,long,44068.2,44032.2,44140.2,44032.2,sl,-38.0,-52.78,-1.056,44649.73,london,conservative,bullish,44068.2,44057.2,2025-08-08 13:05:00,2025-08-08
2886,2025-08-08 14:00:00,2025-08-08 15:20:00,short,44086.5,44113.5,44032.5,44032.5,tp,52.0,96.3,1.926,44746.02,london,conservative,bearish,44088.5,44086.5,2025-08-08 06:30:00,2025-08-08
2887,2025-08-08 15:27:00,2025-08-08 16:30:00,short,44042.2,44090.7,43945.2,44090.7,sl,-50.5,-52.06,-1.041,44693.96,london,conservative,bearish,44065.7,44042.2,2025-08-08 15:20:00,2025-08-08
2888,2025-08-08 15:52:00,2025-08-08 16:30:00,long,44048.2,44017.2,44110.2,44110.2,tp,60.0,96.77,1.935,44790.74,london,conservative,bullish,44048.2,44042.2,2025-08-08 15:45:00,2025-08-08
2889,2025-08-08 17:20:00,2025-08-08 17:50:00,long,44190.9,44137.4,44297.9,44137.4,sl,-55.5,-51.87,-1.037,44738.87,london,conservative,bullish,44190.9,44162.4,2025-08-08 17:05:00,2025-08-08
2890,2025-08-08 17:31:00,2025-08-08 17:55:00,short,44206.4,44257.9,44103.4,44103.4,tp,101.0,98.06,1.961,44836.92,london,conservative,bearish,44232.9,44206.4,2025-08-08 17:20:00,2025-08-08
