trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_usd,pnl_r,balance,session,bb_high,bb_low,pnl_fixed
483,2025-04-09 20:19:00,2025-04-09 20:20:00,long,37795.1,37678.1,38029.1,38029.1,tp,100.0,2.0,12121.75,new_york,37791.1,37703.1,100.0
484,2025-04-10 14:02:00,2025-04-10 15:30:00,short,40098.7,40247.5,39801.09999999999,40249.5,sl,-50.67,-1.013,12071.08,london,40222.5,40102.7,-50.64999999999999
485,2025-04-10 19:57:00,2025-04-10 20:10:00,long,39017.4,38809.0,39434.200000000004,38807.0,sl,-50.48,-1.01,12020.6,new_york,39013.4,38834.0,-50.5
486,2025-04-10 21:38:00,2025-04-10 21:52:00,long,39664.3,39508.4,39976.100000000006,39506.4,sl,-50.64,-1.013,11969.96,new_york,39660.3,39533.4,-50.64999999999999
487,2025-04-10 22:46:00,2025-04-10 22:50:00,short,39186.8,39356.0,38848.40000000001,39358.0,sl,-50.59,-1.012,11919.37,new_york,39331.0,39190.8,-50.6
488,2025-04-11 10:17:00,2025-04-11 10:37:00,short,39713.2,39800.4,39538.79999999999,39802.4,sl,-51.15,-1.023,11868.22,london,39775.4,39717.2,-51.15
489,2025-04-11 11:37:00,2025-04-11 11:43:00,long,39361.4,39259.2,39565.80000000001,39257.2,sl,-50.98,-1.02,11817.24,london,39357.4,39284.2,-51.0
490,2025-04-11 11:47:00,2025-04-11 12:02:00,short,39316.4,39409.8,39129.6,39411.8,sl,-51.07,-1.021,11766.17,london,39384.8,39320.4,-51.05
491,2025-04-11 14:20:00,2025-04-11 16:09:00,long,39669.2,39488.5,40030.59999999999,39486.5,sl,-50.55,-1.011,11715.62,london,39665.2,39513.5,-50.55
492,2025-04-11 19:04:00,2025-04-11 19:36:00,long,39675.0,39537.3,39950.399999999994,39950.399999999994,tp,100.0,2.0,11815.62,new_york,39671.0,39562.3,100.0
493,2025-04-11 22:00:00,2025-04-11 22:09:00,long,40077.9,39990.1,40253.50000000001,40253.50000000001,tp,100.0,2.0,11915.62,new_york,40073.9,40015.1,100.0
494,2025-04-14 12:43:00,2025-04-14 13:04:00,short,40502.5,40573.7,40360.100000000006,40575.7,sl,-51.4,-1.028,11864.22,london,40548.7,40506.5,-51.4
495,2025-04-14 15:02:00,2025-04-14 15:19:00,short,40494.2,40555.4,40371.79999999999,40557.4,sl,-51.63,-1.033,11812.59,london,40530.4,40498.2,-51.65
496,2025-04-14 16:02:00,2025-04-14 16:25:00,long,40656.1,40606.3,40755.69999999999,40755.69999999999,tp,100.0,2.0,11912.59,london,40652.1,40631.3,100.0
497,2025-04-14 17:59:00,2025-04-14 18:25:00,long,40703.0,40522.0,41065.0,40520.0,sl,-50.55,-1.011,11862.04,london,40699.0,40547.0,-50.55
498,2025-04-15 11:07:00,2025-04-15 14:46:00,short,40589.2,40659.3,40448.999999999985,40448.999999999985,tp,100.0,2.0,11962.04,london,40634.3,40593.2,100.0
499,2025-04-15 16:11:00,2025-04-15 16:29:00,short,40477.7,40550.4,40332.29999999999,40552.4,sl,-51.38,-1.028,11910.66,london,40525.4,40481.7,-51.4
500,2025-04-15 20:10:00,2025-04-15 21:15:00,short,40538.0,40620.1,40373.8,40373.8,tp,100.0,2.0,12010.66,new_york,40595.1,40542.0,100.0
501,2025-04-15 21:23:00,2025-04-15 21:36:00,short,40394.2,40465.5,40251.59999999999,40467.5,sl,-51.4,-1.028,11959.26,new_york,40440.5,40398.2,-51.4
502,2025-04-16 11:02:00,2025-04-16 11:27:00,short,40031.4,40087.1,39920.00000000001,40089.1,sl,-51.8,-1.036,11907.46,london,40062.1,40035.4,-51.800000000000004
503,2025-04-16 11:37:00,2025-04-16 11:41:00,long,40277.6,40230.7,40371.4,40371.4,tp,100.0,2.0,12007.46,london,40273.6,40255.7,100.0
504,2025-04-16 11:58:00,2025-04-16 12:26:00,long,40284.6,40237.0,40379.799999999996,40379.799999999996,tp,100.0,2.0,12107.46,london,40280.6,40262.0,100.0
505,2025-04-16 16:21:00,2025-04-16 16:35:00,long,40192.5,40146.2,40285.100000000006,40144.2,sl,-52.16,-1.043,12055.3,london,40188.5,40171.2,-52.15
506,2025-04-16 18:01:00,2025-04-16 18:10:00,short,40245.2,40301.2,40133.2,40303.2,sl,-51.79,-1.036,12003.51,london,40276.2,40249.2,-51.800000000000004
507,2025-04-16 18:15:00,2025-04-16 18:59:00,long,40283.4,40179.0,40492.200000000004,40177.0,sl,-50.96,-1.019,11952.55,london,40279.4,40204.0,-50.949999999999996
508,2025-04-16 19:12:00,2025-04-16 20:30:00,short,40184.2,40255.7,40041.2,40041.2,tp,100.0,2.0,12052.55,new_york,40230.7,40188.2,100.0
509,2025-04-16 21:56:00,2025-04-17 03:46:00,short,39627.8,39761.5,39360.40000000001,39763.5,sl,-50.75,-1.015,12001.8,new_york,39736.5,39631.8,-50.74999999999999
510,2025-04-17 11:02:00,2025-04-17 11:48:00,long,39996.8,39947.2,40096.000000000015,39945.2,sl,-52.02,-1.04,11949.78,london,39992.8,39972.2,-52.0
511,2025-04-17 12:26:00,2025-04-17 12:55:00,long,40002.0,39955.3,40095.399999999994,39953.3,sl,-52.14,-1.043,11897.64,london,39998.0,39980.3,-52.15
512,2025-04-17 14:30:00,2025-04-17 16:20:00,short,39135.9,39236.6,38934.50000000001,39238.6,sl,-50.99,-1.02,11846.65,london,39211.6,39139.9,-51.0
