trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_usd,pnl_r,balance,session,bb_high,bb_low,pnl_fixed,month,date
1441,2026-01-15 14:54:00,2026-01-15 16:29:00,short,49165.3,49208.8,49078.3,49210.8,sl,-52.3,-1.046,19184.11,london,49183.8,49169.3,-52.300000000000004,2026-01,2026-01-15
1442,2026-01-15 19:58:00,2026-01-15 20:05:00,short,49491.5,49544.5,49385.5,49546.5,sl,-51.89,-1.038,19132.22,new_york,49519.5,49495.5,-51.9,2026-01,2026-01-15
1443,2026-01-16 03:05:00,2026-01-16 13:58:00,long,49492.0,49448.0,49580.0,49446.0,sl,-52.27,-1.045,19079.95,asia,49488.0,49473.0,-52.25,2026-01,2026-01-16
1444,2026-01-16 18:32:00,2026-01-16 20:20:00,short,49446.5,49488.5,49362.5,49490.5,sl,-52.38,-1.048,19027.57,london,49463.5,49450.5,-52.400000000000006,2026-01,2026-01-16
1445,2026-01-16 22:52:00,2026-01-19 01:00:00,short,49387.3,49433.3,49295.3,49295.3,tp,100.0,2.0,19127.57,new_york,49408.3,49391.3,100.0,2026-01,2026-01-19
1446,2026-01-19 04:09:00,2026-01-19 09:56:00,short,49002.6,49050.1,48907.6,48907.6,tp,100.0,2.0,19227.57,asia,49025.1,49006.6,100.0,2026-01,2026-01-19
1447,2026-01-19 10:16:00,2026-01-19 11:24:00,long,48976.1,48930.6,49067.1,48928.6,sl,-52.2,-1.044,19175.37,london,48972.1,48955.6,-52.2,2026-01,2026-01-19
1448,2026-01-19 12:58:00,2026-01-19 14:18:00,short,48876.6,48923.6,48782.6,48925.6,sl,-52.13,-1.043,19123.24,london,48898.6,48880.6,-52.15,2026-01,2026-01-19
1449,2026-01-19 15:38:00,2026-01-19 16:16:00,long,48995.6,48946.6,49093.6,48944.6,sl,-52.04,-1.041,19071.2,london,48991.6,48971.6,-52.05,2026-01,2026-01-19
1450,2026-01-20 02:50:00,2026-01-20 08:10:00,long,48915.1,48869.6,49006.1,48867.6,sl,-52.2,-1.044,19019.0,asia,48911.1,48894.6,-52.2,2026-01,2026-01-20
1451,2026-01-20 15:44:00,2026-01-20 16:30:00,short,48650.8,48690.8,48570.8,48692.8,sl,-52.5,-1.05,18966.5,london,48665.8,48654.8,-52.5,2026-01,2026-01-20
1452,2026-01-21 02:40:00,2026-01-21 11:56:00,long,48565.0,48520.5,48654.0,48518.5,sl,-52.25,-1.045,18914.25,asia,48561.0,48545.5,-52.25,2026-01,2026-01-21
1453,2026-01-21 12:18:00,2026-01-21 12:40:00,short,48538.5,48573.0,48469.5,48575.0,sl,-52.9,-1.058,18861.35,london,48548.0,48542.5,-52.900000000000006,2026-01,2026-01-21
1454,2026-01-21 16:04:00,2026-01-21 16:11:00,long,48417.5,48361.0,48530.5,48530.5,tp,100.0,2.0,18961.35,london,48413.5,48386.0,100.0,2026-01,2026-01-21
1455,2026-01-21 16:19:00,2026-01-21 16:20:00,long,48585.0,48548.5,48658.0,48546.5,sl,-52.74,-1.055,18908.61,london,48581.0,48573.5,-52.75,2026-01,2026-01-21
1456,2026-01-21 19:26:00,2026-01-21 20:31:00,short,48721.8,48810.8,48543.8,48812.8,sl,-51.12,-1.022,18857.49,new_york,48785.8,48725.8,-51.1,2026-01,2026-01-21
1457,2026-01-21 21:29:00,2026-01-21 21:37:00,long,49034.8,48972.8,49158.8,49158.8,tp,100.0,2.0,18957.49,new_york,49030.8,48997.8,100.0,2026-01,2026-01-21
1458,2026-01-22 01:37:00,2026-01-22 08:25:00,long,49141.8,49086.8,49251.8,49084.8,sl,-51.82,-1.036,18905.67,asia,49137.8,49111.8,-51.800000000000004,2026-01,2026-01-22
1459,2026-01-22 09:43:00,2026-01-22 10:18:00,short,49160.6,49202.1,49077.6,49204.1,sl,-52.41,-1.048,18853.26,asia,49177.1,49164.6,-52.400000000000006,2026-01,2026-01-22
1460,2026-01-22 13:13:00,2026-01-22 15:47:00,short,49268.0,49306.5,49191.0,49308.5,sl,-52.6,-1.052,18800.66,london,49281.5,49272.0,-52.6,2026-01,2026-01-22
1461,2026-01-22 21:42:00,2026-01-22 22:00:00,short,49476.2,49518.2,49392.2,49392.2,tp,100.0,2.0,18900.66,new_york,49493.2,49480.2,100.0,2026-01,2026-01-22
1462,2026-01-23 10:27:00,2026-01-23 11:40:00,short,49371.3,49408.8,49296.3,49296.3,tp,100.0,2.0,19000.66,london,49383.8,49375.3,100.0,2026-01,2026-01-23
1463,2026-01-26 07:34:00,2026-01-26 09:52:00,long,49006.3,48968.8,49081.3,49081.3,tp,100.0,2.0,19100.66,asia,49002.3,48993.8,100.0,2026-01,2026-01-26
1464,2026-01-26 11:54:00,2026-01-26 13:31:00,long,49018.3,48973.3,49108.3,49108.3,tp,100.0,2.0,19200.66,london,49014.3,48998.3,100.0,2026-01,2026-01-26
1465,2026-01-26 15:08:00,2026-01-26 16:31:00,long,49125.8,49067.3,49242.8,49242.8,tp,100.0,2.0,19300.66,london,49121.8,49092.3,100.0,2026-01,2026-01-26
1466,2026-01-26 20:11:00,2026-01-26 23:08:00,long,49348.6,49244.6,49556.6,49242.6,sl,-50.96,-1.019,19249.7,new_york,49344.6,49269.6,-50.949999999999996,2026-01,2026-01-26
1467,2026-01-27 01:01:00,2026-01-27 03:42:00,short,49227.1,49285.6,49110.1,49287.6,sl,-51.71,-1.034,19197.99,asia,49260.6,49231.1,-51.7,2026-01,2026-01-27
1468,2026-01-27 03:49:00,2026-01-27 06:09:00,long,49290.3,49251.8,49367.3,49367.3,tp,100.0,2.0,19297.99,asia,49286.3,49276.8,100.0,2026-01,2026-01-27
