trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_points,pnl_usd,pnl_r,balance,session,ob_zone_high,ob_zone_low,ob_confirmed_at,cum_pnl,peak,dd
69,2026-01-30 19:31:00,2026-01-30 19:33:00,short,48681.9,48697.328571428574,48627.9,48627.9,tp,52.0,1872.6,3.37,112994.08,new_york,48672.9,48652.9,2026-01-30 19:15:00,12994.099999999999,12994.099999999999,0.0
70,2026-02-02 16:30:00,2026-02-02 16:31:00,long,48790.3,48817.11,48884.134999999995,48817.11,sl,24.81,522.82,0.925,113516.9,new_york,48844.11,48842.11,2026-02-02 15:55:00,13516.919999999998,13516.919999999998,0.0
71,2026-02-02 16:31:00,2026-02-02 16:32:00,long,48753.3,48718.11,48876.46500000001,48718.11,sl,-37.19,-599.84,-1.057,112917.06,new_york,48759.11,48743.11,2026-02-02 13:10:00,12917.079999999998,13516.919999999998,-599.8400000000001
72,2026-02-03 16:04:00,2026-02-03 16:15:00,long,49364.81,49336.11,49465.25999999999,49336.11,sl,-30.7,-603.93,-1.07,112313.13,new_york,49369.11,49361.11,2026-02-03 14:25:00,12313.149999999998,13516.919999999998,-1203.7700000000004
73,2026-02-03 18:41:00,2026-02-03 18:51:00,long,49284.25,49259.81,49369.79000000001,49259.81,sl,-26.44,-607.52,-1.082,111705.61,new_york,49320.81,49284.81,2026-02-03 16:50:00,11705.629999999997,13516.919999999998,-1811.2900000000009
74,2026-02-04 14:24:00,2026-02-04 14:39:00,long,49374.21,49339.21,49496.71,49339.21,sl,-37.0,-590.44,-1.057,111115.16,new_york,49374.21,49364.21,2026-02-04 12:35:00,11115.189999999997,13516.919999999998,-2401.7300000000014
75,2026-02-04 16:00:00,2026-02-04 16:30:00,long,49317.21,49272.21,49474.71,49474.71,tp,155.5,1919.82,3.456,113034.99,new_york,49319.21,49297.21,2026-02-04 12:05:00,13035.009999999997,13516.919999999998,-481.9100000000017
76,2026-02-04 19:30:00,2026-02-04 19:50:00,long,49341.4,49235.9,49710.65,49235.9,sl,-107.5,-575.89,-1.019,112459.1,new_york,49342.2,49260.9,2026-02-04 17:25:00,12459.119999999997,13516.919999999998,-1057.800000000001
77,2026-02-05 14:43:00,2026-02-05 15:50:00,long,49340.81,49296.31,49496.56,49296.31,sl,-46.5,-587.57,-1.045,111871.53,new_york,49347.31,49321.31,2026-02-05 11:35:00,11871.549999999997,13516.919999999998,-1645.3700000000008
78,2026-02-05 15:38:00,2026-02-05 15:50:00,long,49357.31,49301.31,49553.31,49301.31,sl,-58.0,-582.38,-1.036,111289.15,new_york,49357.31,49326.31,2026-02-05 15:35:00,11289.169999999998,13516.919999999998,-2227.75
79,2026-02-06 17:50:00,2026-02-06 18:47:00,long,49679.1,49619.6,49887.35,49887.35,tp,206.25,1928.86,3.466,113218.01,new_york,49712.6,49644.6,2026-02-06 17:45:00,13218.029999999999,13516.919999999998,-298.8899999999994
80,2026-02-06 18:25:00,2026-02-06 18:33:00,short,49781.6,49804.171428571426,49702.6,49804.171428571426,sl,-24.57,-605.75,-1.089,112612.26,new_york,49820.6,49727.6,2026-02-06 18:25:00,12612.279999999999,13516.919999999998,-904.6399999999994
81,2026-02-09 15:18:00,2026-02-09 15:54:00,long,50089.41,50034.81,50280.510000000024,50034.81,sl,-56.6,-583.69,-1.037,112028.57,new_york,50090.41,50059.81,2026-02-09 15:05:00,12028.589999999998,13516.919999999998,-1488.33
82,2026-02-10 14:30:00,2026-02-10 14:40:00,long,50140.5,50103.5,50270.0,50103.5,sl,-39.0,-590.42,-1.054,111438.15,new_york,50142.5,50128.5,2026-02-10 14:30:00,11438.169999999998,13516.919999999998,-2078.75
83,2026-02-11 15:15:00,2026-02-11 15:34:00,long,50241.4,50191.31,50416.71500000001,50416.71500000001,tp,173.32,1927.92,3.46,113366.07,new_york,50242.71,50216.31,2026-02-11 15:15:00,13366.089999999998,13516.919999999998,-150.82999999999993
84,2026-02-12 14:07:00,2026-02-12 15:03:00,long,50265.71,50228.2,50396.99500000001,50228.2,sl,-39.51,-597.05,-1.053,112769.02,new_york,50269.2,50253.2,2026-02-12 13:00:00,12769.039999999999,13516.919999999998,-747.8799999999992
85,2026-02-12 16:22:00,2026-02-12 16:31:00,long,50225.51,50180.61,50382.66,50382.66,tp,155.15,1948.34,3.455,114717.36,new_york,50226.01,50205.61,2026-02-12 15:35:00,14717.38,14717.38,0.0
86,2026-02-13 15:11:00,2026-02-13 15:30:00,long,49291.31,49253.31,49424.31,49424.31,tp,131.0,1977.37,3.447,116694.73,new_york,49294.81,49278.31,2026-02-13 14:35:00,16694.75,16694.75,0.0
